,zh-Hant,en-US
common.btn_confirm,確定,OK
common.btn_back,返回,Back
consent.title,版權與使用告示,Copyright and Usage Notice
consent.btn_agree,同意,Agree
copyright.title,版權與使用告示,Copyright and Usage Notice
copyright.content,"感謝您參與「○○航空科學館」互動體驗。\n開始遊戲前，請您詳閱以下說明：\n\n一、著作權\n　本體驗之遊戲程式、美術素材（含飛行器 2D／3D 模型、角色服飾、場景、UI、音樂及音效）\n　均為「○○航空科學館」與開發團隊「Lotify」共同所有，受著作權法保護。\n　請勿於館外進行錄影、翻拍後用於商業宣傳、二次散布或上架至任何平台。\n\n二、玩家創作內容\n　您於體驗中產生之內容（如 Avatar 拍照、塗鴉飛行器、短影音），\n　僅供本次體驗及館內展示使用；\n　若您於結束畫面選擇「分享」，即同意由本館／Lotify 協助上傳至指定平台。\n\n三、肖像與個資\n　本館不會保留您的人臉辨識原始影像，僅將特徵轉為紙娃娃資料；\n　相關資料於離館後將依本館隱私權政策刪除或去識別化。\n\n四、其他\n　本體驗僅供展覽用途，非對外販售之商業遊戲。\n　如有合作、授權或技術問題，請洽「○○航空科學館」服務台。\n\n© 2026 ○○航空科學館　版權所有\nDeveloped by Lotify Inc.　All Rights Reserved.","Thank you for joining the ""○○ Aviation Science Museum"" interactive experience.\nPlease read the following notice before starting:\n\n1. Copyright\n   The game program and art assets (including 2D/3D aircraft models, character costumes, scenes, UI, music, and sound effects) are jointly owned by ""○○ Aviation Science Museum"" and the development team ""Lotify"", and are protected by copyright law.\n   Please do not record or re-shoot outside the museum for commercial promotion, secondary distribution, or upload to any platform.\n\n2. Player-Created Content\n   Content created during the experience (such as avatar photos, doodle aircraft, short videos) is for this experience and in-museum display only.\n   If you choose ""Share"" on the ending screen, you agree to let the museum / Lotify upload it to designated platforms on your behalf.\n\n3. Portraits and Personal Data\n   The museum does not retain raw facial-recognition images; only extracted features are converted into paper-doll data.\n   Related data will be deleted or de-identified after you leave the museum, in accordance with the museum's privacy policy.\n\n4. Other\n   This experience is for exhibition use only and is not a commercial game for sale.\n   For cooperation, licensing, or technical issues, please contact the ""○○ Aviation Science Museum"" service desk.\n\n© 2026 ○○ Aviation Science Museum. All Rights Reserved.\nDeveloped by Lotify Inc. All Rights Reserved."
profile.name,姓名,Name
profile.age,年齡,Age
profile.gender_male,男,Male
profile.gender_female,女,Female
profile.gender_non_binary,非二元,Non-binary
profile.placeholder_name,請輸入您的姓名,Please enter your name
profile.placeholder_age,請輸入您的年齡,Please enter your age
camera.btn_capture,拍照,Take Photo
camera.btn_retake,重拍,Retake
camera.btn_confirm,確認,Confirm
outfit.title,自定服飾,Customize Outfit
outfit.btn_confirm,確認服飾,Confirm Outfit
menu.btn_pilot_license,飛行員證,Pilot License
menu.btn_flight_mission,飛行任務,Flight Mission
menu.btn_record_modify,戰績改造,Record Modify
menu.btn_flight_story,飛行故事,Flight Story
menu.btn_logout,登出,Logout
doodle.prompt_describe,請形容你想要的圖案,Please describe the pattern you want
doodle.btn_generate,生成圖片,Generate Image
